date,bank,tipo,buy,sell
2025-03-16,Scotiabank,Dólar (USD) Sucursales,61.2,63.15
2025-03-16,Scotiabank,Dólar (USD) Canales Digitales*,61.35,63.1
2025-03-16,Banreservas,,61.5,63
2025-03-16,Banco Popular,,61.3,63.2
2025-03-16,BHD,,61.4,63.15
2025-03-16,Santa Cruz,,62.2,63.2
2025-03-16,Banco Caribe,,62.1,63.1
2025-03-16,BDI,,62.25,63.1
2025-03-16,Vimenca,,62.2,63.2
2025-03-16,BLH,,62,63.15
2025-03-16,Promerica,,61.7,63.15
2025-03-16,Banesco,,61.2,63.15
2025-03-16,Lafise,,61.65,63.15
2025-03-16,Ademi,,62.1,63.15
2025-03-16,Quezada,,62.5,63.3
