date,bank,tipo,buy,sell
2025-03-03,Scotiabank,Dólar (USD) Sucursales,60.6,62.55
2025-03-03,Scotiabank,Dólar (USD) Canales Digitales*,60.75,62.5
2025-03-03,Banreservas,,60.8,62.3
2025-03-03,Banco Popular,,60.9,62.65
2025-03-03,BHD,,60.75,62.5
2025-03-03,Santa Cruz,,61.5,62.5
2025-03-03,Banco Caribe,,61.5,62.5
2025-03-03,BDI,,61.6,62.4
2025-03-03,Vimenca,,61.5,62.5
2025-03-03,BLH,,61.5,62.65
2025-03-03,Promerica,,61.4,62.65
2025-03-03,Banesco,,60.55,62.5
2025-03-03,Lafise,,61,62.5
2025-03-03,Ademi,,61.65,62.5
