date,bank,tipo,buy,sell
2025-03-09,Scotiabank,Dólar (USD) Sucursales,60.9,62.85
2025-03-09,Scotiabank,Dólar (USD) Canales Digitales*,61.05,62.8
2025-03-09,Banreservas,,61.25,62.75
2025-03-09,Banco Popular,,61.1,62.85
2025-03-09,BHD,,61.1,62.849999999999994
2025-03-09,Santa Cruz,,61.9,62.9
2025-03-09,Banco Caribe,,61.8,62.8
2025-03-09,BDI,,62,62.849999999999994
2025-03-09,Vimenca,,61.8,62.8
2025-03-09,BLH,,61.7,62.85
2025-03-09,Promerica,,61.5,62.9
2025-03-09,Banesco,,60.75,62.849999999999994
2025-03-09,Lafise,,61.35,62.85
2025-03-09,Ademi,,61.9,62.8
