date,bank,tipo,buy,sell
2025-03-21,Scotiabank,Dólar (USD) Sucursales,61.4,63.35
2025-03-21,Scotiabank,Dólar (USD) Canales Digitales*,61.55,63.3
2025-03-21,Banreservas,,61.75,63.25
2025-03-21,Banco Popular,,61.35,63.3
2025-03-21,BHD,,61.5,63.3
2025-03-21,Banco Caribe,,62.3,63.3
2025-03-21,BDI,,62.349999999999994,63.3
2025-03-21,Vimenca,,0,0
2025-03-21,BLH,,62.2,63.3
2025-03-21,Promerica,,61.849999999999994,63.3
2025-03-21,Banesco,,61.4,63.3
2025-03-21,Lafise,,61.8,63.3
2025-03-21,Ademi,,62.3,63.349999999999994
2025-03-21,Quezada,,62.75,63.449999999999996
