date,bank,tipo,buy,sell
2025-03-14,Scotiabank,Dólar (USD) Sucursales,61.1,63.05
2025-03-14,Scotiabank,Dólar (USD) Canales Digitales*,61.25,63
2025-03-14,Banreservas,,61.449999999999996,62.949999999999996
2025-03-14,Banco Popular,,61.3,63.15
2025-03-14,BHD,,61.349999999999994,63.1
2025-03-14,Santa Cruz,,62.1,63.1
2025-03-14,Banco Caribe,,62.1,63.1
2025-03-14,BDI,,62.25,63.1
2025-03-14,Vimenca,,62.1,63.1
2025-03-14,BLH,,62,63.15
2025-03-14,Promerica,,61.65,63.1
2025-03-14,Banesco,,61.15,63.1
2025-03-14,Lafise,,61.6,63.1
2025-03-14,Ademi,,62.1,63.1
2025-03-14,Quezada,,62.5,63.2
